Image Index,Detector Type,Descriptor Type,TTC Camera,TTC Lidar,TTC diff,Mean diff
4,,,19.6442,16.6894,2.9548,
5,,,15.27,15.7465,0.4765,
6,,,11.1135,12.7835,1.67,
7,,,13.9096,11.9844,1.9252,
8,,,15.629,13.1241,2.5049,
9,,,15.0391,13.0241,2.015,
10,,,10.5697,11.1746,0.604900000000001,
11,,,11.7091,12.8086,1.0995,
12,,,11.6297,8.95978,2.66992,
13,,,9.24585,9.96439,0.718539999999999,
14,,,10.6436,9.59863,1.04497,
15,,,10.4391,8.52157,1.91753,
16,,,9.5804,9.51552,0.064880000000001,
17,,,8.87894,9.61241,0.733470000000001,
18,,,9.00486,8.3988,0.606060000000001,1.25
,,,,,,
,,,,,,0.867
